ts_wall,stm32_timestamp,pixhawk_timestamp,thrust1,thrust2,thrust3,thrust4,thrust5,thrust6,voltage,current,rpm,temperature,torque,load,baro_t,baro_p,_FORMAT
1753881538.703573,471.5480041503906,234.625,1662.0,1569.0,1880.0,0.0,2855.0,1111.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.0099983215332,970.4697265625,<16f
1753881538.7552843,471.5899963378906,234.625,1662.0,1567.0,1867.0,0.0,2855.0,1111.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.0099983215332,970.4697265625,<16f
1753881538.8062837,471.6440124511719,235.12100219726562,1665.0,1567.0,1867.0,0.0,2874.0,1120.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5242919921875,<16f
1753881538.8574877,471.68499755859375,235.12100219726562,1665.0,1569.0,1870.0,0.0,2874.0,1120.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5242919921875,<16f
1753881538.9086733,471.7669982910156,235.12100219726562,1675.0,1583.0,1883.0,0.0,2863.0,1119.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5242919921875,<16f
1753881538.9598515,471.8080139160156,235.12100219726562,1681.0,1583.0,1883.0,0.0,2854.0,1117.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5242919921875,<16f
1753881539.0115414,471.85400390625,235.12100219726562,1681.0,1593.0,1867.0,0.0,2854.0,1117.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5242919921875,<16f
1753881539.0631933,471.8949890136719,235.12100219726562,1681.0,1593.0,1867.0,0.0,2853.0,1110.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5242919921875,<16f
1753881539.114899,471.97698974609375,235.12100219726562,1685.0,1574.0,1866.0,0.0,2853.0,1110.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5242919921875,<16f
1753881539.1661127,472.01800537109375,235.12100219726562,1673.0,1574.0,1866.0,0.0,2851.0,1107.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5242919921875,<16f
1753881539.217465,472.0589904785156,235.12100219726562,1673.0,1577.0,1883.0,0.0,2851.0,1107.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5242919921875,<16f
1753881539.2687366,472.10101318359375,235.12100219726562,1673.0,1577.0,1883.0,0.0,2856.0,1112.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.029998779296875,970.5242919921875,<16f
1753881539.3200955,472.1969909667969,235.625,1662.0,1577.0,1876.0,0.0,2861.0,1099.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4778442382812,<16f
1753881539.3710454,472.2380065917969,235.625,1672.0,1569.0,1881.0,0.0,2861.0,1099.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4778442382812,<16f
1753881539.4224846,472.27899169921875,235.625,1672.0,1569.0,1881.0,0.0,2857.0,1093.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4778442382812,<16f
1753881539.4737816,472.32000732421875,235.625,1672.0,1559.0,1881.0,0.0,2857.0,1093.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4778442382812,<16f
1753881539.5250688,472.4070129394531,235.625,1669.0,1559.0,1881.0,0.0,2857.0,1095.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4778442382812,<16f
1753881539.5765753,472.447998046875,235.625,1669.0,1561.0,1888.0,0.0,2857.0,1095.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4778442382812,<16f
1753881539.6280081,472.489013671875,235.625,1669.0,1561.0,1888.0,0.0,2862.0,1104.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4778442382812,<16f
1753881539.6795614,472.5299987792969,235.625,1676.0,1567.0,1873.0,0.0,2862.0,1104.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4778442382812,<16f
1753881539.7315822,472.6130065917969,235.625,1674.0,1569.0,1860.0,0.0,2859.0,1118.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.040000915527344,970.4778442382812,<16f
1753881539.7834065,472.6669921875,236.12100219726562,1674.0,1569.0,1860.0,0.0,2875.0,1114.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.5390625,<16f
1753881539.8344212,472.7080078125,236.12100219726562,1666.0,1573.0,1855.0,0.0,2875.0,1114.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.5390625,<16f
1753881539.885782,472.7489929199219,236.12100219726562,1666.0,1573.0,1855.0,0.0,2886.0,1106.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.5390625,<16f
1753881539.9370356,472.7900085449219,236.12100219726562,1666.0,1573.0,1871.0,0.0,2886.0,1106.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.5390625,<16f
1753881539.9884424,472.87701416015625,236.12100219726562,1669.0,1574.0,1871.0,0.0,2874.0,1102.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.5390625,<16f
1753881540.0397334,472.9179992675781,236.12100219726562,1676.0,1557.0,1869.0,0.0,2874.0,1102.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.5390625,<16f
1753881540.0907474,472.9590148925781,236.12100219726562,1676.0,1557.0,1869.0,0.0,2854.0,1099.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.5390625,<16f
1753881540.142169,473.0,236.12100219726562,1678.0,1555.0,1875.0,0.0,2854.0,1099.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.5390625,<16f
1753881540.19325,473.0820007324219,236.12100219726562,1678.0,1573.0,1884.0,0.0,2876.0,1105.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.5390625,<16f
1753881540.2447543,473.1239929199219,236.12100219726562,1678.0,1573.0,1884.0,0.0,2863.0,1099.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.04999923706055,970.5390625,<16f
1753881540.2960792,473.1780090332031,236.62399291992188,1678.0,1573.0,1884.0,0.0,2863.0,1099.0,48.0,0.0,0.0,39.0,nan,nan,45.06999969482422,970.562255859375,<16f
1753881540.3478887,473.2200012207031,236.62399291992188,1678.0,1572.0,1879.0,0.0,2862.0,1102.0,48.0,0.0,0.0,39.0,nan,nan,45.06999969482422,970.562255859375,<16f
1753881540.3992796,473.260986328125,236.62399291992188,1678.0,1572.0,1872.0,0.0,2862.0,1102.0,48.0,0.0,0.0,39.0,nan,nan,45.06999969482422,970.562255859375,<16f
1753881540.4508238,473.3429870605469,236.62399291992188,1682.0,1571.0,1872.0,0.0,2867.0,1106.0,48.0,0.0,0.0,39.0,nan,nan,45.06999969482422,970.562255859375,<16f
1753881540.5023758,473.3890075683594,236.62399291992188,1682.0,1573.0,1863.0,0.0,2867.0,1106.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.06999969482422,970.562255859375,<16f
1753881540.5532703,473.42999267578125,236.62399291992188,1674.0,1573.0,1863.0,0.0,2868.0,1097.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.06999969482422,970.562255859375,<16f
1753881540.6045434,473.47100830078125,236.62399291992188,1674.0,1574.0,1872.0,0.0,2868.0,1097.0,47.900001525878906,0.0,0.0,39.0,nan,nan,45.06999969482422,970.562255859375,<16f
